dataset,algorithm,k,d,step,instantaneous_loss,cumulative_loss,n_leaves,elapsed_s
MNIST,FTRL,15,50,0,0.193301,0.193301,1,0.000
MNIST,FTRL,15,50,1,0.301399,0.494700,1,0.000
MNIST,FTRL,15,50,2,0.564606,1.059306,1,0.001
MNIST,FTRL,15,50,3,0.604053,1.663359,1,0.001
MNIST,FTRL,15,50,4,0.278036,1.941396,1,0.001
MNIST,FTRL,15,50,5,0.401755,2.343150,1,0.001
MNIST,FTRL,15,50,6,0.395367,2.738518,1,0.001
MNIST,FTRL,15,50,7,0.175610,2.914127,1,0.001
MNIST,FTRL,15,50,8,0.121499,3.035626,1,0.001
MNIST,FTRL,15,50,9,0.383214,3.418840,1,0.001
MNIST,FTRL,15,50,10,0.200623,3.619463,1,0.002
MNIST,FTRL,15,50,11,0.396569,4.016032,1,0.002
MNIST,FTRL,15,50,12,0.375796,4.391828,1,0.002
MNIST,FTRL,15,50,13,0.325716,4.717544,1,0.002
MNIST,FTRL,15,50,14,0.160101,4.877645,1,0.002
MNIST,FTRL,15,50,15,0.356162,5.233807,1,0.002
MNIST,FTRL,15,50,16,0.402746,5.636554,1,0.003
MNIST,FTRL,15,50,17,0.234485,5.871038,1,0.003
MNIST,FTRL,15,50,18,0.476228,6.347266,1,0.003
MNIST,FTRL,15,50,19,0.199896,6.547163,1,0.003
MNIST,FTRL,15,50,20,0.260043,6.807206,1,0.003
MNIST,FTRL,15,50,21,0.130621,6.937827,1,0.003
MNIST,FTRL,15,50,22,0.202971,7.140798,1,0.003
MNIST,FTRL,15,50,23,0.023985,7.164782,1,0.003
MNIST,FTRL,15,50,24,0.363843,7.528625,1,0.004
MNIST,FTRL,15,50,25,0.249962,7.778587,1,0.004
MNIST,FTRL,15,50,26,0.349007,8.127594,1,0.004
MNIST,FTRL,15,50,27,0.078623,8.206218,1,0.004
MNIST,FTRL,15,50,28,0.339421,8.545639,1,0.004
MNIST,FTRL,15,50,29,0.330496,8.876134,1,0.004
MNIST,FTRL,15,50,30,0.363817,9.239951,1,0.004
MNIST,FTRL,15,50,31,0.211049,9.451000,1,0.004
MNIST,FTRL,15,50,32,0.288775,9.739775,1,0.005
MNIST,FTRL,15,50,33,0.127232,9.867007,1,0.005
MNIST,FTRL,15,50,34,0.277044,10.144051,1,0.005
MNIST,FTRL,15,50,35,0.351567,10.495618,1,0.005
MNIST,FTRL,15,50,36,0.170901,10.666519,1,0.005
MNIST,FTRL,15,50,37,0.160797,10.827316,1,0.005
MNIST,FTRL,15,50,38,0.372946,11.200262,1,0.005
MNIST,FTRL,15,50,39,0.078199,11.278461,1,0.006
MNIST,FTRL,15,50,40,0.279192,11.557653,1,0.006
MNIST,FTRL,15,50,41,0.210008,11.767661,1,0.006
MNIST,FTRL,15,50,42,0.220431,11.988093,1,0.006
MNIST,FTRL,15,50,43,0.181832,12.169925,1,0.006
MNIST,FTRL,15,50,44,0.371776,12.541701,1,0.006
MNIST,FTRL,15,50,45,0.177134,12.718836,1,0.006
MNIST,FTRL,15,50,46,0.296934,13.015770,1,0.007
MNIST,FTRL,15,50,47,0.368610,13.384380,1,0.007
MNIST,FTRL,15,50,48,0.342752,13.727131,1,0.007
MNIST,FTRL,15,50,49,0.104944,13.832075,1,0.007
MNIST,FTRL,15,50,50,0.278241,14.110316,1,0.007
MNIST,FTRL,15,50,51,0.229550,14.339866,1,0.008
MNIST,FTRL,15,50,52,0.270159,14.610025,1,0.008
MNIST,FTRL,15,50,53,0.221549,14.831574,1,0.008
MNIST,FTRL,15,50,54,0.306654,15.138228,1,0.008
MNIST,FTRL,15,50,55,0.180339,15.318567,1,0.008
MNIST,FTRL,15,50,56,0.333011,15.651578,1,0.008
